longitude,latitude
121.49,31.309
121.49,31.311999999999998
121.48899999999999,31.313000000000002
121.48899999999999,31.308000000000003
121.447,31.186
121.443,31.19
121.443,31.188000000000002
121.338,31.264
121.335,31.259
121.337,31.25800000000001
121.52600000000001,31.284000000000002
121.522,31.285
121.447,31.230999999999998
121.446,31.230999999999998
121.41799999999999,31.273000000000003
121.414,31.269000000000002
121.479,31.233
121.48,31.232
121.411,31.135
121.43700000000001,31.334
121.43700000000001,31.337
121.51299999999999,31.308000000000003
121.51100000000001,31.308000000000003
121.51,31.303
121.391,31.241999999999997
121.38799999999999,31.239
121.58,31.255
121.58,31.249000000000002
121.50399999999999,31.179000000000002
121.499,31.176
121.458,31.256999999999998
121.458,31.261999999999997
121.508,31.265
121.505,31.264
121.38799999999999,31.32
121.38600000000001,31.315
121.38600000000001,31.31900000000001
121.473,31.199
121.46799999999999,31.201
121.47,31.204
121.47200000000001,31.204
121.384,31.103
121.387,31.104
121.31700000000001,31.295
121.31200000000001,31.291999999999998
121.35,31.166999999999998
121.454,31.16800000000001
121.45100000000001,31.166999999999998
121.529,31.324
121.53299999999999,31.326
121.53,31.320999999999998
121.46600000000001,31.326999999999998
121.449,31.212
121.45299999999999,31.211
121.454,31.212
121.494,31.21
121.488,31.252
121.47200000000001,31.294
121.47200000000001,31.296999999999997
121.348,31.289
121.361,31.219
121.37100000000001,31.362
121.37200000000001,31.358
121.40799999999999,31.171
121.40799999999999,31.16800000000001
121.40700000000001,31.171999999999997
121.404,31.171999999999997
121.479,31.276
121.476,31.276999999999997
121.447,31.287
121.449,31.284000000000002
121.445,31.287
121.539,31.299
121.536,31.304000000000002
121.323,31.238000000000003
121.318,31.241
121.32,31.243000000000002
121.42299999999999,31.217
121.425,31.214000000000002
121.429,31.217
121.529,31.263
121.529,31.261999999999997
121.53,31.265
121.492,31.339000000000002
121.36399999999999,31.249000000000002
121.363,31.247
121.366,31.25
121.369,31.246
121.432,31.163
121.43,31.164
121.41799999999999,31.289
121.415,31.288
121.447,31.31
121.449,31.315
121.447,31.316
121.5,31.281999999999996
121.499,31.28
121.42200000000001,31.195
121.431,31.256
121.40899999999999,31.241
